1: A=The Thousand Good Books
2: A=From: The Death of Christian Culture by John Senior (IHS Press)
4: A=Author | B=Book Title | C=Age Group | D=Index Group
5: A=THE NURSERY (ages 2–7)
6: A=Aesop | B=Fables (The translation by Robert L'Estrange is the classic) | C=THE NURSERY (ages 2–7) | D=1.0
7: A=Andersen, Hans Christian | B=Christine's Picture Book | C=THE NURSERY (ages 2–7) | D=1.0
8: A=Andersen, Hans Christian | B=A Christmas Greeting: A Series of Stories | C=THE NURSERY (ages 2–7) | D=1.0
9: A=Andersen, Hans Christian | B=Fairy Tales | C=THE NURSERY (ages 2–7) | D=1.0
10: A=Arabian Nights | B=Two classic translations: one expurgated for children by Edward Lane, the other complete by Richard Burton | C=THE NURSERY (ages 2–7) | D=1.0
11: A=Belloc, Hilaire | B=The Bad Child's Book of Beasts | C=THE NURSERY (ages 2–7) | D=1.0
12: A=Caldecott, Randolph | B=Picture Books — 16 little vols. (published by Fredrick Warne) | C=THE NURSERY (ages 2–7) | D=1.0
13: A=Carroll, Lewis (preferably illustrated by Tenniel) | B=Alice in Wonderland | C=THE NURSERY (ages 2–7) | D=1.0
14: A=Carroll, Lewis | B=Through the Looking Glass | C=THE NURSERY (ages 2–7) | D=1.0
15: A=Collodi, Carlo (Carlo Lorenzini) | B=Pinocchio | C=THE NURSERY (ages 2–7) | D=1.0
16: A=De La Mare, Walter | B=Come Hither (the best anthology of poetry for "children of all ages") | C=THE NURSERY (ages 2–7) | D=1.0
17: A=De La Mare, Walter | B=Songs of Childhood | C=THE NURSERY (ages 2–7) | D=1.0
18: A=Edgeworth, Maria | B=Moral Tales | C=THE NURSERY (ages 2–7) | D=1.0
19: A=Edgeworth, Maria | B=The Parent's Assistant | C=THE NURSERY (ages 2–7) | D=1.0
20: A=Ewing, Juliana | B=Jackanapes | C=THE NURSERY (ages 2–7) | D=1.0
21: A=Gesta Romanorum | B=(translated by Swann [scholarly facsimiles]) | C=THE NURSERY (ages 2–7) | D=1.0
22: A=Grahame, Kenneth | B=Wind in the Willows | C=THE NURSERY (ages 2–7) | D=1.0
23: A=Greenaway, Kate (preferably published by Fredrick Warne) | B=A Apple Pie | C=THE NURSERY (ages 2–7) | D=1.0
24: A=Greenaway, Kate | B=Birthday Book | C=THE NURSERY (ages 2–7) | D=1.0
25: A=Greenaway, Kate | B=Marigold Garden | C=THE NURSERY (ages 2–7) | D=1.0
26: A=Greenaway, Kate | B=Mother Goose | C=THE NURSERY (ages 2–7) | D=1.0
27: A=Greenaway, Kate | B=The Language of Flowers | C=THE NURSERY (ages 2–7) | D=1.0
28: A=Greenaway, Kate | B=Under the Window | C=THE NURSERY (ages 2–7) | D=1.0
29: A=Grimm | B=Household Stories (illustrated by Walter Crane [Dover Facsimiles]) | C=THE NURSERY (ages 2–7) | D=1.0
30: A=Harris, Joel Chandler | B=Uncle Remus | C=THE NURSERY (ages 2–7) | D=1.0
31: A=Kingsley, Charles | B=Water Babies | C=THE NURSERY (ages 2–7) | D=1.0
32: A=Kipling, Rudyard | B=Jungle Book (illustrated by Kipling) | C=THE NURSERY (ages 2–7) | D=1.0
33: A=Kipling, Rudyard | B=Just So Stories | C=THE NURSERY (ages 2–7) | D=1.0
34: A=Lamb, Charles | B=Beauty and the Beast | C=THE NURSERY (ages 2–7) | D=1.0
35: A=Lamb, Charles | B=Tales from Shakespeare | C=THE NURSERY (ages 2–7) | D=1.0
36: A=Lang, Andrew | B=Blue Book of Fairies, and other color — 5 vols. (best illustrated by H.J. Ford [Dover has facsimile editions]) | C=THE NURSERY (ages 2–7) | D=1.0
37: A=Lear, Edward | B=ABC (illustrated by Lear) | C=THE NURSERY (ages 2–7) | D=1.0
38: A=Lear, Edward | B=Nonsense Omnibus (illustrated by Lear [Warne]) | C=THE NURSERY (ages 2–7) | D=1.0
39: A=Lear, Edward | B=The Pobble Who Has No Toe | C=THE NURSERY (ages 2–7) | D=1.0
40: A=Lear, Edward | B=The Quangle Wangle Hat | C=THE NURSERY (ages 2–7) | D=1.0
41: A=Lofting, Hugh | B=Dr. Dolittle: A Treasury | C=THE NURSERY (ages 2–7) | D=1.0
42: A=Lofting, Hugh | B=Dr. Dolittle and The Green Canary | C=THE NURSERY (ages 2–7) | D=1.0
43: A=Lofting, Hugh | B=Dr. Dolittle's Circus | C=THE NURSERY (ages 2–7) | D=1.0
44: A=Lofting, Hugh | B=Dr. Dolittle's Caravan | C=THE NURSERY (ages 2–7) | D=1.0
45: A=Lofting, Hugh | B=Dr. Dolittle's Garden | C=THE NURSERY (ages 2–7) | D=1.0
46: A=Lofting, Hugh | B=Dr. Dolittle's Zoo | C=THE NURSERY (ages 2–7) | D=1.0
47: A=Lofting, Hugh | B=Story of Doctor Dolittle | C=THE NURSERY (ages 2–7) | D=1.0
48: A=Lofting, Hugh | B=Voyages of Doctor Dolittle | C=THE NURSERY (ages 2–7) | D=1.0
49: A=Milne, A.A. | B=Winnie the Pooh | C=THE NURSERY (ages 2–7) | D=1.0
50: A=Milne, A.A. | B=The House at Pooh Corner | C=THE NURSERY (ages 2–7) | D=1.0
